Class Catalogue - Class Search Results,,,,,,,
,,,,,,,
Search Type:,Class Search,,,,,,
Session:,Academic Year 2021/2022,,,,,,
Credit Scheme:,Strathclyde Standard 2003 and after,,,,,,
Classification:,Undergraduate,,,,,,
,,,,,,,
,,,,,,,
CODE,TITLE,CREDITS,LEVEL,UG/PG/CE,SEMESTER,EXCHANGE,ELECTIVE
X3453,Creative Contexts For Learning Religious And Moral Education 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3454,Creative Contexts For Learning Religious And Moral Education 1 (Gaelic),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3540,Creative Contexts For Learning Religious And Moral Education 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3544,Creative Contexts For Learning Religious And Moral Education 2 (Gaelic),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3410,Creative Contexts For Learning Spanish 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3411,Creative Contexts For Learning Spanish 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3505,Creative Contexts For Learning Spanish 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3506,Creative Contexts For Learning Spanish 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3412,Creative Contexts For Learning Spanish And French 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3413,Creative Contexts For Learning Spanish And French 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3507,Creative Contexts For Learning Spanish And French 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3508,Creative Contexts For Learning Spanish And French 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X7447,Creative Contexts For Learning Spanish And German 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3846,Creative Contexts For Learning Spanish And German 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X9125,Creative Contexts For Learning Spanish And Italian 1,40,Level 1,Undergraduate,Full Year 2021/2022,N,NE
X9114,Creative Contexts For Learning Spanish And Italian 2,40,Level 1,Undergraduate,Full Year 2021/2022,N,NE
X3451,Creative Contexts For Learning Technological Education 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3452,Creative Contexts For Learning Technological Education 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3542,Creative Contexts For Learning Technological Education 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3543,Creative Contexts For Learning Technological Education 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
EX404,Credit Bearing Exchange Code For Masters In Ibml,120,Level 4,Undergraduate,Full Year 2021/2022,N,NE
AB110,Cultural Studies 1,20,Level 1,Undergraduate,Full Year 2021/2022,Y,NE
AB211,Cultural Studies 2,20,Level 2,Undergraduate,Full Year 2021/2022,Y,NE
AB314,Cultural Studies 3,20,Level 3,Undergraduate,Full Year 2021/2022,Y,NE
AB420,Cultural Studies 4,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
CC250,Cultures Of The British Empire,20,Level 2,Undergraduate,Full Year 2021/2022,N,NE
CS423,Cyber Security,10,Level 4,Undergraduate,Full Year 2021/2022,N,NE
DM200,Design 2,20,Level 2,Undergraduate,Full Year 2021/2022,N,PE
