Module Title,Department,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
Issues And Trends in Entrepreneurship,Empty department,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Research Methods,Social Work And Social Policy,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Family Business Theory And Practice,Empty department,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Business Law,Law,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO
Introduction to Economics,City Of Glasgow College - City Campus,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Microeconomics 2,Empty department,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Macroeconomics 2,Empty department,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Microeconomics 3,Empty department,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
Macroeconomics 3,Empty department,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Dissertation,Accounting And Finance,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Microeconomics 4,Empty department,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Macroeconomics 4,Empty department,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Introduction to Econometrics,Empty department,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Economics of Firms And Industries,Empty department,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Industrial Economics,Economics,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Applied Econometrics,Economics,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Financial Development And Economic Growth,Empty department,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Behavioural Economics,Economics,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Natural Resource; Environmental And Energy Economics,Economics,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
Introduction to Hospitality And Tourism Management,Empty department,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Service Encounter Management,Empty department,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Destination Marketing Management,"Work, Employment And Organisation",NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Industry Placement,Empty department,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Events Management,Empty department,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Internationalisation of Tourism Products and Services,"Work, Employment And Organisation",NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO
Hospitality And Tourism Analysis: Case Studies And Case Histories,"Work, Employment And Organisation",NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Being an Ethical Manager,"Work, Employment And Organisation",NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO
Management; Enterprise And the Rise of the Global Economy,"Work, Employment And Organisation",NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Strategy And Leadership,"Work, Employment And Organisation",NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Family Business: Theory And Practice,Hunter Centre For Entrepreneurship,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO
Managing People,City Of Glasgow College - City Campus,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Work Psychology,"Work, Employment And Organisation",NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Work Psychology for Human Resource Management,City Of Glasgow College - City Campus,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO
Work; Employment And Society,"Work, Employment And Organisation",NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Employment Relations,"Work, Employment And Organisation",NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Organisational Behaviour,"Work, Employment And Organisation",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HRM And Employment Relations in Public Services,"Work, Employment And Organisation",NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Human Resources in the Global Economy,Empty department,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Perspective on Work And Employment,Empty department,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Introduction to Marketing,City Of Glasgow College - City Campus,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Understanding Consumers And Markets,City Of Glasgow College - City Campus,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Services And Retail Marketing,City Of Glasgow College - City Campus,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Marketing Communications in the Digital Age,Marketing,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
